4,6,1,1,0,1,1,1,2,2,2,1,1,3,1,1,2,3,3,4,5,5,6,7,7,8,9,9,9,9,9,9,10,10,10,11,11,11,11,11,1,1,1,1,0,0,1,1,1,1,2,2,2,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,2,2,2,2,2,2,0,0,0,0,0,0,1,1,1,1,1,1
4,1,1,1,2,3,3,3,4,4,4,1,1,0,1,1,2,0,0,1,2,2,3,0,0,1,2,2,2,2,2,2,0,0,0,1,1,1,1,1,3,4,4,4,5,5,0,1,1,1,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
4,0,1,1,2,3,3,3,4,4,4,4,4,6,1,1,2,2,2,3,4,4,5,5,5,6,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,2,2,2,0,0,1,2,2,2,3,3,4,4,4,4,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
4,6,7,7,8,9,9,9,0,0,0,0,0,0,2,2,3,3,3,4,0,0,1,1,1,3,3,3,0,1,1,1,1,1,1,2,2,2,2,2,4,0,0,0,0,0,1,2,2,2,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
4,6,7,7,8,0,0,0,0,0,1,1,1,3,5,5,6,6,6,0,1,1,2,2,2,4,4,4,5,6,6,6,6,6,6,0,0,0,1,1,1,2,2,2,2,2,0,1,1,1,1,1,2,2,2,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
4,6,0,0,1,0,0,0,0,0,1,0,0,0,2,2,3,3,3,4,5,5,0,0,0,2,2,2,3,0,0,1,1,1,1,0,0,1,0,0,2,0,0,0,0,0,1,2,2,2,2,2,3,3,3,3,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4,6,8,8,9,10,10,10,11,11,11,15,15,1,3,3,4,0,0,1,0,0,1,2,2,3,4,4,4,4,4,4,5,5,5,6,6,6,6,6,7,1,1,0,1,1,2,0,0,0,1,1,1,2,2,2,3,3,3,3,3,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
4,2,0,0,1,2,2,2,3,3,3,2,2,1,3,3,0,1,1,1,2,2,2,0,0,1,2,2,2,2,2,0,1,1,1,2,2,2,2,2,3,0,0,1,0,0,1,2,2,0,0,0,0,1,1,0,1,1,1,1,1,2,2,2,0,1,1,1,2,2,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0
4,7,8,8,8,9,9,9,10,10,10,3,3,6,1,1,1,2,2,1,0,0,0,1,1,2,3,3,0,0,0,1,1,1,0,1,1,1,1,1,2,4,4,4,5,5,6,7,7,8,8,8,0,0,0,1,0,0,0,0,0,1,1,1,2,2,2,0,1,1,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,1,1,1,1,1,1
4,1,2,2,2,3,3,3,4,4,4,8,8,11,13,13,13,14,14,15,16,16,16,17,17,0,1,1,2,2,2,0,0,0,1,1,1,1,1,1,1,3,3,3,0,0,1,0,0,1,1,1,2,2,2,2,3,3,3,3,3,0,0,0,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
4,6,7,7,0,1,1,0,1,1,0,1,1,3,0,0,0,1,1,2,0,0,0,1,1,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,1,3,3,3,3,3,1,2,2,2,2,2,3,3,3,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0
4,1,2,2,3,3,3,0,1,1,0,4,4,6,8,8,0,1,1,0,1,1,0,0,0,2,2,2,0,0,0,1,1,1,1,1,1,0,0,0,2,4,4,4,4,4,5,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1
0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,16,16,16,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,12,12,12,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
