4,2,5,5,1,1,1,2,3,3,4,6,6,9,11,11,13,14,14,1,1,1,2,3,3,3,3,3,0,1,1,2,0,0,1,1,1,2,2,2,3,3,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
4,6,2,2,2,3,3,4,5,5,0,2,2,2,4,4,1,2,2,4,4,4,0,1,1,1,1,1,0,1,1,2,3,3,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,2,2,2,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
4,6,9,9,11,17,17,18,19,19,20,1,1,1,0,0,2,0,0,2,2,2,2,3,3,0,0,0,0,1,1,2,3,3,3,4,4,5,5,5,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
4,1,2,2,4,5,5,1,2,2,0,2,2,2,4,4,6,7,7,9,9,9,9,1,1,0,0,0,0,1,1,2,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,2,2,2,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
4,0,3,3,5,4,4,5,0,0,0,2,2,4,1,1,3,4,4,1,1,1,1,3,3,3,3,3,3,4,4,0,1,1,2,3,3,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,2,2,2,0,0,0,0,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1
4,6,9,9,0,1,1,0,1,1,1,0,0,2,4,4,1,2,2,3,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1
4,7,10,10,2,5,5,6,7,7,8,10,10,1,1,1,3,0,0,2,2,2,3,4,4,4,4,4,4,4,4,0,1,1,2,2,2,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,2,2,2,2,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4,1,1,1,4,4,4,0,1,1,2,2,2,1,2,2,4,4,4,6,6,6,7,1,1,1,0,0,0,0,0,1,2,2,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,2,2,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,6,2,2,5,1,1,2,0,0,1,4,4,6,0,0,2,2,2,0,0,0,1,3,3,3,0,0,0,0,0,1,0,0,1,1,1,2,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,1,4,4,7,2,2,3,4,4,5,2,2,4,1,1,1,0,0,1,0,0,0,2,2,2,2,2,2,0,0,1,2,2,3,3,3,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,0,0,0,0,0
